Rotation ID,Schools,Sites,Program,Experience,Student Count,Student Slots,Students,Start Date,End Date,Shift Start,Shift End,Total Hours per Person,Days of the Week,Faculty Name,Preceptor Name,Rotation Type,Course,Unit,Status,Cleaned Status,Year,Cohort,School_Cleaned,School Avg Hour per Person
312937,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,8,8,"10001, 10002, 10003, 10004, 10005, 10006, 10007, 10008",1/9/23,4/24/23,7:00:00,19:00:00,144,Mon,2001,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,Stroke Telemetry - 4400,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
312960,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10009, 10010, 10011, 10012, 10013, 10014, 10015, 10016",1/13/23,4/28/23,7:00:00,19:00:00,144,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,3SW,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
312961,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024",5/10/23,6/28/23,7:00:00,19:00:00,96,Wed,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,6W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
312962,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032",5/12/23,6/30/23,7:00:00,19:00:00,96,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,3SW,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
319596,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,6,6,"10033, 10034, 10035, 10036, 10037, 10038",3/10/23,4/28/23,7:00:00,15:00:00,48,Fri,ID Missing,No Preceptor Assigned,Psychiatry; Mental Health; Behavioral Medicine,NR 326 - Mental Health Nursing,Behavioral Health (acute) - 1800,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
319605,Chamberlain College of Nursing - Georgia,Emory University Hospital at Wesley Woods,Nursing,Cohort Rotation,6,6,"10039, 10040, 10041, 10042, 10043, 10044",1/13/23,3/3/23,7:00:00,15:00:00,48,Fri,ID Missing,No Preceptor Assigned,Psychiatry; Mental Health; Behavioral Medicine,NR 326 - Mental Health Nursing,Inpatient Psych,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
319606,Chamberlain College of Nursing - Georgia,Emory University Hospital at Wesley Woods,Nursing,Cohort Rotation,6,6,"10045, 10046, 10047, 10048, 10049, 10050",3/10/23,4/28/23,7:00:00,15:00:00,48,Fri,ID Missing,No Preceptor Assigned,Psychiatry; Mental Health; Behavioral Medicine,NR 326 - Mental Health Nursing,-no preference-,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
322010,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10051, 10052, 10053, 10054, 10055, 10056, 10057",1/12/23,2/24/23,7:00:00,15:00:00,48,Thu,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,4W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
322011,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,6,8,"10058, 10059, 10060, 10061, 10062, 10063",1/12/23,3/2/23,7:00:00,15:00:00,48,Thu,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,5E,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
339109,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,6,8,"10066, 10067, 10068, 10069, 10070, 10071",1/19/23,4/20/23,7:00:00,16:00:00,95,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NUR 317 - Adult Health,6E,Archived (Completed),Completed,2023,Spring 2023,Mercer University,65.3
340221,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,6,8,"10072, 10073, 10074, 10075, 10076, 10077",1/18/23,4/19/23,7:00:00,16:00:00,95,Wed,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NUR 317 - Adult Health,6W,Archived (Completed),Completed,2023,Spring 2023,Mercer University,65.3
343702,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,6,6,"10078, 10079, 10039, 10080, 10081, 10082",3/10/23,3/31/23,7:00:00,19:00:00,48,Fri,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
343901,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,8,8,"10083, 10084, 10085, 10086, 10087, 10088, 10089, 10090",1/14/23,4/29/23,7:00:00,19:00:00,144,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,Stroke Telemetry - 4400,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
