Registered Nursing Program Name,Type,Total Delivered - 2022,Pass Rate - 2022,Total Delivered - 2023,Pass Rate - 2023,Total Delivered - 2024,Pass Rate - 2024,Total Delivered - 2025,Pass Rate - 2025,Total Delivered,4 Year Average
Abraham Baldwin Agricultural College,Associates,119,78.15,102,82.35,84,97.62,96,100,401,88.53%
Albany State University,Associates,182,72.53,147,86.39,115,95.65,137,86.13,581,83.82%
Albany State University,Bachelors,14,78.57,16,100,12,91.67,6,83.33,48,89.58%
Albany Technical College,Associates,22,81.82,10,100,26,100,30,96.67,88,94.32%
Andrew College,Associates,14,64.29,2,100,8,100,16,75,40,77.50%
Athens Technical College,Associates,40,90,47,100,50,100,54,94.44,191,96.34%
Atlanta Technical College,Associates,10,80,12,100,24,100,13,100,59,96.61%
Augusta Technical College,Associates,10,100,25,96,52,82.69,131,90.82,218,83.94%
Augusta University,Bachelors,166,79.52,169,96.45,162,93.83,163,90.18,660,90.00%
Augusta University,Pre-Licensure Masters,132,84.09,137,87.59,144,94.12,127,90.55,540,92.41%
Berry College,Bachelors,32,78.13,23,100,35,100,26,100,116,93.97%
Brenau University,Bachelors,122,85.25,77,77.92,41,85.42,36,88.89,276,88.41%
Brenau University,Pre-Licensure Masters,,,51,100,70,98.57,81,87.65,202,94.55%
Brewton Parker Christian University,Bachelors,,,,,9,100,14,50,23,69.57%
Cambridge College of Healthcare and Technology,Associates,,,,,,,25,76,25,76.00%
Central Georgia Technical College,Associates,34,70.59,38,97.37,56,91.07,71,76.06,199,83.42%
Chamberlain University,Bachelors,327,79.51,426,79.58,403,77.92,331,79.76,1487,79.15%
Chattahoochee Technical College,Associates,54,100,41,95.12,16,100,49,100,160,98.75%
Clayton State University,Bachelors,81,80.25,76,88.16,35,94.29,41,95.12,233,87.55%
Coastal Pines Technical College,Associates,38,52.63,36,80.56,28,82.14,23,86.96,125,73.60%
College of Coastal Georgia,Associates,55,72.73,38,92.11,48,95.83,51,90.2,192,86.98%
College of Coastal Georgia,Bachelors,36,83.33,33,100,31,100,20,100,120,95.00%
Columbus State University,Bachelors,39,87.18,60,96.67,74,95.95,47,95.74,220,94.55%
Columbus Technical College,Associates,61,80.33,70,88.57,85,90.59,80,78.75,296,84.80%
Dalton State College,Associates,58,70.69,84,88.1,116,88.79,110,80.91,368,83.42%
Emory University,Bachelors,192,85.94,151,94.04,156,94.23,184,89.13,683,90.48%
Emory University,Pre-Licensure Masters,285,84.21,318,89.94,334,90.12,313,78.27,1250,85.76%
Fort Valley State University,Bachelors,,,,,,,6,66.67,6,66.67%
Georgia Baptist College of Nursing - Mercer University,Bachelors,198,81.31,171,90.64,161,95.65,131,90.08,661,88.96%
Georgia College and State University,Bachelors,109,88.99,135,94.81,142,91.55,132,93.94,518,92.47%
Georgia Gwinnett College,Bachelors,57,94.74,54,96.3,63,100,67,83.58,241,93.36%
