organization,cohort date,nurse id,deid_names,employment start date,type of unit,age,gender,nursing degree received,gpa,employment status,previous health care work experience,leave,type of leave,termination,termination date,tenure,termination reason,id,education_clean,gpa_numeric
Emory University Hospital Midtown,8/8/25,480100,13696,8/4/25,Medical/Surgical Inpatient Unit,23,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,20576,Albany State University,3.75
Emory University Hospital,10/14/22,457429,13711,11/7/22,Orthopedic Inpatient Unit,27,Male,Bsn,3.0 - 3.49,,,No,,Yes,9/20/23,0.868493151,Obtained Position With A More Desirable Commute,20590,Albany State University,3.25
Emory Decatur Hospital,4/1/25,476508,13716,3/17/25,Emergency Department,24,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,No,,,,20595,Albany State University,3.25
Emory University Hospital,10/28/24,448283,13718,10/14/24,Medical/Surgical Intermediate Unit,26,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,No,,,,20597,Albany State University,3.25
Emory University Hospital,10/28/24,465066,13719,10/14/24,Transplant Unit,24,Female,Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,20598,Albany State University,3.25
Emory University Hospital,10/28/24,474441,13720,10/21/24,General Medical Inpatient Unit,23,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,No,,,,20599,Albany State University,3.25
Emory University Hospital Midtown,10/25/24,448683,13721,10/15/24,Emergency Department,24,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,No,,,,20600,Albany State University,3.25
Emory University Hospital Midtown,10/25/24,472184,13722,11/18/24,General Medical Inpatient Unit,38,Female,Adn/Asn,2.5 - 2.99,Full-Time,,No,,No,,,,20601,Albany State University,2.75
Emory University Hospital Midtown,10/25/24,474495,13723,10/14/24,Emergency Department,27,Female,Adn/Asn,2.5 - 2.99,Full-Time,,No,,No,,,,20602,Albany State University,2.75
Emory University Hospital Midtown,10/25/24,2138731,13724,10/14/24,General Medical Inpatient Unit,28,Female,Adn/Asn,3.5 And Above,Full-Time,,No,,No,,,,20603,Albany State University,3.75
Emory Decatur Hospital,8/20/24,459182,13725,8/12/24,Observation Unit,24,Female,Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,20604,Albany State University,3.25
Emory University Hospital,8/5/24,2401326,13726,7/29/24,Telemetry Unit,23,Female,Bsn,3.5 And Above,Full-Time,,No,,Yes,11/9/25,1.282191781,Other/Unknown,20605,Albany State University,3.75
Emory Saint Joseph’S Hospital,7/12/24,471163,13727,7/15/24,Medical/Surgical Inpatient Unit,44,Female,Adn/Asn,3.5 And Above,Full-Time,,No,,No,,,,20606,Albany State University,3.75
Emory University Hospital Midtown,4/5/24,468927,13728,4/1/24,Medical Icu Inpatient Unit,38,Female,Adn/Asn,2.5 - 2.99,Full-Time,,No,,No,,,,20607,Albany State University,2.75
Emory Johns Creek Hospital,2/22/24,469487,13729,3/18/24,Medical/Surgical Inpatient Unit,38,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,No,,,,20608,Albany State University,3.25
Emory University Hospital Midtown,10/27/23,430649,13730,10/1/23,Orthopedic Inpatient Unit,38,Female,Diploma,3.0 - 3.49,Full-Time,,No,,No,,,,20609,Albany State University,3.25
Emory University Hospital Midtown,4/1/22,432057,13732,4/15/22,Cardiac/Heart/Vascular Critical Care,40,Female,Adn/Asn,2.5 - 2.99,,,No,,No,,,,20611,Albany State University,2.75
Emory University Hospital Midtown,10/29/21,450712,13733,10/24/21,Emergency Department,24,Female,Adn/Asn,3.0 - 3.49,,,No,,Yes,11/20/22,1.073972603,Other/Unknown,20612,Albany State University,3.25
Emory Johns Creek Hospital,7/12/24,473360,13734,8/19/24,Neonatal Icu Inpatient Unit,22,Male,Adn/Asn,3.0 - 3.49,Full-Time,,No,,Yes,10/31/24,0.2,Other/Unknown,20613,Albany State University,3.25
Emory University Hospital,9/27/21,2129959,13735,10/3/21,Telemetry Unit,30,Female,Adn/Asn,3.0 - 3.49,,,No,,No,,,,20614,Albany State University,3.25
Emory University Hospital Midtown,8/13/21,445562,13736,2/28/21,Orthopedic Inpatient Unit,31,Female,Adn/Asn,3.0 - 3.49,,,No,,Yes,1/18/23,1.887671233,Unsatisfactory Performance,20615,Albany State University,3.25
Emory Long Term Acute Care,10/13/20,1451315,13737,10/5/20,Medical/Surgical Intermediate Unit,30,Male,Accelerated Bsn,3.5 And Above,,,No,,Yes,2/12/23,2.356164384,Other/Unknown,20616,Albany State University,3.75
Emory University Hospital Midtown,4/1/20,419873,13738,2/28/20,Orthopedic Inpatient Unit,48,Female,Adn/Asn,2.5 - 2.99,Full-Time,,No,,No,,,,20617,Albany State University,2.75
Emory University Hospital,8/1/19,2275291,13739,7/22/19,Neurology/Neurosurgical Icu Inpatient Unit,25,Male,Accelerated Bsn,3.5 And Above,,,No,,No,,,,20618,Albany State University,3.75
Emory University Hospital,7/23/18,425444,13740,,Mother/Baby Unit,24,Female,Bsn,3.0 - 3.49,,,No,,No,,,,20619,Albany State University,3.25
Emory University Hospital,2/23/18,417608,13741,,General Medical Inpatient Unit,23,Female,Bsn,3.0 - 3.49,,,No,,No,,,,20620,Albany State University,3.25
Emory University Hospital,3/10/14,639368,13742,,Medical/Surgical Inpatient Unit,25,Female,Bsn,3.0 - 3.49,,,No,,No,,,,20621,Albany State University,3.25
Emory University Hospital Midtown,4/5/24,2072378,13743,3/4/24,Oncology Inpatient Unit,52,Female,Adn/Asn,2.5 - 2.99,Full-Time,,No,,No,,,,20622,Albany State University,2.75
Emory University Hospital Midtown,10/28/22,458638,13791,9/19/22,Oncology Inpatient Unit,46,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,Yes,2/26/23,0.438356164,Other/Unknown,20670,Atlanta Technical College,3.25
Emory University Hospital,10/28/24,438358,13792,8/20/24,General Medical Inpatient Unit,39,Female,Adn/Asn,2.0 - 2.49,Full-Time,,No,,No,,,,20671,Atlanta Technical College,2.25
Emory Hillandale Hospital,8/22/24,472968,13793,8/12/24,Medical/Surgical Inpatient Unit,30,Female,Adn/Asn,2.5 - 2.99,Full-Time,,No,,No,,,,20672,Atlanta Technical College,2.75
Emory University Hospital,8/5/24,408670,13794,3/30/15,Medical/Surgical Intermediate Unit,29,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,No,,,,20673,Atlanta Technical College,3.25
Emory University Hospital,8/16/23,444278,13795,7/31/23,Surgical Icu Inpatient Unit,28,Female,Adn/Asn,3.0 - 3.49,Full-Time,,No,,No,,,,20674,Atlanta Technical College,3.25
