Rotation ID,Schools,Sites,Program,Experience,Student Count,Student Slots,Students,Start Date,End Date,Shift Start,Shift End,Total Hours per Person,Days of the Week,Faculty Name,Preceptor Name,Rotation Type,Course,Unit,Status,Cleaned Status,Year,Cohort,Cohort_ID
312937,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,8,8,"10001, 10002, 10003, 10004, 10005, 10006, 10007, 10008",2023-01-09,2023-04-24,07:00:00,19:00:00,144,Mon,2001,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,Stroke Telemetry - 4400,Archived (Completed),Completed,2023,Spring 2023,61
312939,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,2023-05-08,2023-06-26,07:00:00,19:00:00,96,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,General Medical,Archived (Denied),Denied,2023,Spring 2023,91
312940,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,2023-05-12,2023-06-30,07:00:00,19:00:00,96,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,General Medical,Archived (Denied),Denied,2023,Spring 2023,99
312944,Chamberlain College of Nursing - Georgia,Emory Hillandale Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,2023-01-09,2023-04-24,07:00:00,19:00:00,144,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,Telemetry,Archived (Withdrawn),Withdrawn,2023,Spring 2023,61
312945,Chamberlain College of Nursing - Georgia,Emory Hillandale Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,2023-01-13,2023-04-28,07:00:00,19:00:00,144,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,Telemetry,Archived (Withdrawn),Withdrawn,2023,Spring 2023,69
312946,Chamberlain College of Nursing - Georgia,Emory Hillandale Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,2023-05-08,2023-06-26,07:00:00,19:00:00,96,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,Telemetry,Archived (Withdrawn),Withdrawn,2023,Spring 2023,91
312947,Chamberlain College of Nursing - Georgia,Emory Hillandale Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,2023-05-12,2023-06-30,07:00:00,19:00:00,96,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,Telemetry,Archived (Withdrawn),Withdrawn,2023,Spring 2023,99
312951,Chamberlain College of Nursing - Georgia,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,2023-01-02,2023-04-26,07:00:00,19:00:00,144,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,3rd floor: med-surg,Archived (Denied),Denied,2023,Spring 2023,58
312952,Chamberlain College of Nursing - Georgia,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,2023-01-02,2023-04-26,07:00:00,19:00:00,144,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,3rd floor: med-surg,Archived (Denied),Denied,2023,Spring 2023,58
312953,Chamberlain College of Nursing - Georgia,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,2023-05-01,2023-06-25,07:00:00,19:00:00,96,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,3rd floor: med-surg,Archived (Denied),Denied,2023,Spring 2023,90
