School,school_type,year,pass_rate,total_delivered,completion_rate,slot_fill_rate,total_student_count,sample_size,retention_rate,Average GPA
Albany State University,Bachelors,2022.0,78.57,14.0,,,,10.0,0.8,3.25
Albany State University,Bachelors,2023.0,100.0,16.0,,,,10.0,0.8,3.25
Albany State University,Bachelors,2024.0,91.67,12.0,,,,10.0,0.8,3.25
Albany State University,Bachelors,2025.0,83.33,6.0,,,,10.0,0.8,3.25
Brenau University,Bachelors,2022.0,85.25,122.0,0.25,0.2272727272727272,10.0,67.0,0.746268656716418,3.4347826086956523
Brenau University,Bachelors,2023.0,77.92,77.0,0.25,0.2272727272727272,10.0,67.0,0.746268656716418,3.4347826086956523
Brenau University,Bachelors,2024.0,85.42,41.0,0.25,0.2272727272727272,10.0,67.0,0.746268656716418,3.4347826086956523
Brenau University,Bachelors,2025.0,88.89,36.0,0.25,0.2272727272727272,10.0,67.0,0.746268656716418,3.4347826086956523
Columbus State University,Bachelors,2022.0,87.18,39.0,,,,31.0,0.7096774193548387,3.316666666666667
Columbus State University,Bachelors,2023.0,96.67,60.0,,,,31.0,0.7096774193548387,3.316666666666667
Columbus State University,Bachelors,2024.0,95.95,74.0,,,,31.0,0.7096774193548387,3.316666666666667
Columbus State University,Bachelors,2025.0,95.74,47.0,,,,31.0,0.7096774193548387,3.316666666666667
Emory University,Bachelors,2022.0,85.94,192.0,,,,413.0,0.7869249394673123,3.62406015037594
Emory University,Bachelors,2023.0,94.04,151.0,,,,413.0,0.7869249394673123,3.62406015037594
Emory University,Bachelors,2024.0,94.23,156.0,,,,413.0,0.7869249394673123,3.62406015037594
Emory University,Bachelors,2025.0,89.13,184.0,,,,413.0,0.7869249394673123,3.62406015037594
Georgia College And State University,Bachelors,2022.0,88.99,109.0,,,,14.0,1.0,3.3333333333333335
Georgia College And State University,Bachelors,2023.0,94.81,135.0,,,,14.0,1.0,3.3333333333333335
Georgia College And State University,Bachelors,2024.0,91.55,142.0,,,,14.0,1.0,3.3333333333333335
Georgia College And State University,Bachelors,2025.0,93.94,132.0,,,,14.0,1.0,3.3333333333333335
Georgia Gwinnett College,Bachelors,2022.0,94.74,57.0,0.1176470588235294,0.0707070707070707,7.0,41.0,0.7317073170731707,3.506756756756757
Georgia Gwinnett College,Bachelors,2023.0,96.3,54.0,0.1176470588235294,0.0707070707070707,7.0,41.0,0.7317073170731707,3.506756756756757
Georgia Gwinnett College,Bachelors,2024.0,100.0,63.0,0.1176470588235294,0.0707070707070707,7.0,41.0,0.7317073170731707,3.506756756756757
Georgia Gwinnett College,Bachelors,2025.0,83.58,67.0,0.1176470588235294,0.0707070707070707,7.0,41.0,0.7317073170731707,3.506756756756757
Georgia State University,Bachelors,2022.0,83.69,141.0,,,,194.0,0.7474226804123711,3.5710526315789473
Georgia State University,Bachelors,2023.0,83.64,110.0,,,,194.0,0.7474226804123711,3.5710526315789473
Georgia State University,Bachelors,2024.0,92.25,142.0,,,,194.0,0.7474226804123711,3.5710526315789473
Georgia State University,Bachelors,2025.0,89.56,182.0,,,,194.0,0.7474226804123711,3.5710526315789473
Gordon State College,Bachelors,2022.0,84.38,32.0,,,,5.0,0.6,3.25
Gordon State College,Bachelors,2023.0,84.44,45.0,,,,5.0,0.6,3.25
Gordon State College,Bachelors,2024.0,86.05,43.0,,,,5.0,0.6,3.25
Gordon State College,Bachelors,2025.0,82.22,45.0,,,,5.0,0.6,3.25
Herzing University,Bachelors,2022.0,36.36,33.0,0.6666666666666666,1.0,3.0,44.0,0.7045454545454546,3.380952380952381
Herzing University,Bachelors,2023.0,90.32,31.0,0.6666666666666666,1.0,3.0,44.0,0.7045454545454546,3.380952380952381
Herzing University,Bachelors,2024.0,80.52,77.0,0.6666666666666666,1.0,3.0,44.0,0.7045454545454546,3.380952380952381
Herzing University,Bachelors,2025.0,80.0,35.0,0.6666666666666666,1.0,3.0,44.0,0.7045454545454546,3.380952380952381
Kennesaw State University,Bachelors,2022.0,88.11,244.0,,,,174.0,0.7241379310344828,3.571888412017167
Kennesaw State University,Bachelors,2023.0,90.7,301.0,,,,174.0,0.7241379310344828,3.571888412017167
Kennesaw State University,Bachelors,2024.0,96.55,319.0,,,,174.0,0.7241379310344828,3.571888412017167
Kennesaw State University,Bachelors,2025.0,89.38,386.0,,,,174.0,0.7241379310344828,3.571888412017167
Reinhardt University,Bachelors,2022.0,84.0,25.0,,,,5.0,0.4,3.65
Reinhardt University,Bachelors,2023.0,94.59,37.0,,,,5.0,0.4,3.65
Reinhardt University,Bachelors,2024.0,100.0,20.0,,,,5.0,0.4,3.65
Reinhardt University,Bachelors,2025.0,100.0,32.0,,,,5.0,0.4,3.65
University Of North Georgia,Bachelors,2022.0,87.77,188.0,,,,90.0,0.6333333333333333,3.590909090909091
University Of North Georgia,Bachelors,2023.0,95.65,161.0,,,,90.0,0.6333333333333333,3.590909090909091
University Of North Georgia,Bachelors,2024.0,96.74,184.0,,,,90.0,0.6333333333333333,3.590909090909091
University Of North Georgia,Bachelors,2025.0,92.54,201.0,,,,90.0,0.6333333333333333,3.590909090909091
University Of West Georgia,Bachelors,2022.0,71.64,134.0,,,,102.0,0.7745098039215687,3.5850515463917527
University Of West Georgia,Bachelors,2023.0,84.43,167.0,,,,102.0,0.7745098039215687,3.5850515463917527
University Of West Georgia,Bachelors,2024.0,93.01,143.0,,,,102.0,0.7745098039215687,3.5850515463917527
University Of West Georgia,Bachelors,2025.0,83.33,150.0,,,,102.0,0.7745098039215687,3.5850515463917527
