school_name,school_type,year,pass_rate,total_delivered,completion_rate,slot_fill_rate,total_student_count,sample_size,retention_rate
albany state university,Bachelors,2022,78.57,14.0,,,,10.0,0.8
albany state university,Bachelors,2023,100.0,16.0,,,,10.0,0.8
albany state university,Bachelors,2024,91.67,12.0,,,,10.0,0.8
albany state university,Bachelors,2025,83.33,6.0,,,,10.0,0.8
augusta university,Bachelors,2022,79.52,166.0,,,,,
augusta university,Bachelors,2023,96.45,169.0,,,,,
augusta university,Bachelors,2024,93.83,162.0,,,,,
augusta university,Bachelors,2025,90.18,163.0,,,,,
berry college,Bachelors,2022,78.13,32.0,,,,22.0,0.6818181818181818
berry college,Bachelors,2023,100.0,23.0,,,,22.0,0.6818181818181818
berry college,Bachelors,2024,100.0,35.0,,,,22.0,0.6818181818181818
berry college,Bachelors,2025,100.0,26.0,,,,22.0,0.6818181818181818
brenau university,Bachelors,2022,85.25,122.0,0.25,0.22727272727272727,10.0,67.0,0.746268656716418
brenau university,Bachelors,2023,77.92,77.0,0.25,0.22727272727272727,10.0,67.0,0.746268656716418
brenau university,Bachelors,2024,85.42,41.0,0.25,0.22727272727272727,10.0,67.0,0.746268656716418
brenau university,Bachelors,2025,88.89,36.0,0.25,0.22727272727272727,10.0,67.0,0.746268656716418
brewton parker christian university,Bachelors,2024,100.0,9.0,,,,,
brewton parker christian university,Bachelors,2025,50.0,14.0,,,,,
chamberlain university,Bachelors,2022,79.51,327.0,,,,393.0,0.6641221374045801
chamberlain university,Bachelors,2023,79.58,426.0,,,,393.0,0.6641221374045801
chamberlain university,Bachelors,2024,77.92,403.0,,,,393.0,0.6641221374045801
chamberlain university,Bachelors,2025,79.76,331.0,,,,393.0,0.6641221374045801
clayton state university,Bachelors,2022,80.25,81.0,,,,123.0,0.8373983739837398
clayton state university,Bachelors,2023,88.16,76.0,,,,123.0,0.8373983739837398
clayton state university,Bachelors,2024,94.29,35.0,,,,123.0,0.8373983739837398
clayton state university,Bachelors,2025,95.12,41.0,,,,123.0,0.8373983739837398
college of coastal georgia,Bachelors,2022,83.33,36.0,,,,11.0,0.8181818181818182
college of coastal georgia,Bachelors,2023,100.0,33.0,,,,11.0,0.8181818181818182
college of coastal georgia,Bachelors,2024,100.0,31.0,,,,11.0,0.8181818181818182
college of coastal georgia,Bachelors,2025,100.0,20.0,,,,11.0,0.8181818181818182
columbus state university,Bachelors,2022,87.18,39.0,,,,31.0,0.7096774193548387
columbus state university,Bachelors,2023,96.67,60.0,,,,31.0,0.7096774193548387
columbus state university,Bachelors,2024,95.95,74.0,,,,31.0,0.7096774193548387
columbus state university,Bachelors,2025,95.74,47.0,,,,31.0,0.7096774193548387
emory university,Bachelors,2022,85.94,192.0,,,,413.0,0.7869249394673123
emory university,Bachelors,2023,94.04,151.0,,,,413.0,0.7869249394673123
emory university,Bachelors,2024,94.23,156.0,,,,413.0,0.7869249394673123
emory university,Bachelors,2025,89.13,184.0,,,,413.0,0.7869249394673123
fort valley state university,Bachelors,2025,66.67,6.0,,,,,
georgia baptist college of nursing - mercer university,Bachelors,2022,81.31,198.0,,,,,
georgia baptist college of nursing - mercer university,Bachelors,2023,90.64,171.0,,,,,
georgia baptist college of nursing - mercer university,Bachelors,2024,95.65,161.0,,,,,
georgia baptist college of nursing - mercer university,Bachelors,2025,90.08,131.0,,,,,
georgia college and state university,Bachelors,2022,88.99,109.0,,,,14.0,1.0
georgia college and state university,Bachelors,2023,94.81,135.0,,,,14.0,1.0
georgia college and state university,Bachelors,2024,91.55,142.0,,,,14.0,1.0
georgia college and state university,Bachelors,2025,93.94,132.0,,,,14.0,1.0
georgia gwinnett college,Bachelors,2022,94.74,57.0,0.11764705882352941,0.0707070707070707,7.0,41.0,0.7317073170731707
georgia gwinnett college,Bachelors,2023,96.3,54.0,0.11764705882352941,0.0707070707070707,7.0,41.0,0.7317073170731707
georgia gwinnett college,Bachelors,2024,100.0,63.0,0.11764705882352941,0.0707070707070707,7.0,41.0,0.7317073170731707
georgia gwinnett college,Bachelors,2025,83.58,67.0,0.11764705882352941,0.0707070707070707,7.0,41.0,0.7317073170731707
georgia southern university,Bachelors,2022,80.99,284.0,,,,106.0,0.7547169811320755
georgia southern university,Bachelors,2023,88.79,321.0,,,,106.0,0.7547169811320755
georgia southern university,Bachelors,2024,92.94,326.0,,,,106.0,0.7547169811320755
georgia southern university,Bachelors,2025,85.62,306.0,,,,106.0,0.7547169811320755
georgia southwestern state university,Bachelors,2022,89.36,47.0,,,,14.0,0.5
georgia southwestern state university,Bachelors,2023,96.97,33.0,,,,14.0,0.5
georgia southwestern state university,Bachelors,2024,90.7,43.0,,,,14.0,0.5
georgia southwestern state university,Bachelors,2025,87.5,32.0,,,,14.0,0.5
georgia state university,Bachelors,2022,83.69,141.0,,,,194.0,0.7474226804123711
