Schools_Cleaned,Average GPA,NCLEX Pass Rate,GPA z-score,NCLEX Pass Rate z-score,Final Score
reinhardt university,3.65,94.74,1.2846827976760749,0.8771949355808096,1.1216876528379687
georgia state university,3.5710526315789473,97.75,0.8370921870346317,1.4102772606561644,1.0663662164832448
university of north georgia,3.590909090909091,93.05,0.9496680072868736,0.5778895769836845,0.8009566351655979
emory university,3.62406015037594,90.48,1.1376173113224604,0.12273290740107451,0.7316635497539059
kennesaw state university,3.571888412017167,91.28,0.8418306284062277,0.264415917387879,0.6108647439988882
georgia gwinnett college,3.506756756756757,93.36,0.47256794197169283,0.6327917433535718,0.5366574625244445
emory university,3.62406015037594,85.76,1.1376173113224604,-0.7131968515210749,0.39729164618504614
brenau university,3.4347826086956523,94.55,0.06451187214483797,0.8435452207089439,0.37612521157048034
georgia state university,3.5710526315789473,87.65,0.8370921870346317,-0.378470740427248,0.3508670160498798
university of west georgia,3.5850515463917527,83.33,0.9164587695401262,-1.1435589943559965,0.09245166398167703
columbus state university,3.316666666666667,94.55,-0.6051442250322386,0.8435452207089439,-0.025668446735765627
brenau university,3.4347826086956523,88.41,0.06451187214483797,-0.24387188093978482,-0.058841629089011145
georgia college and state university,3.3333333333333335,92.47,-0.5106528738968232,0.4751693947432511,-0.11632396644079346
georgia highlands college,3.25,92.11,-0.9831096295739029,0.4114120402491889,-0.42530096164466613
albany state university,3.25,89.58,-0.9831096295739029,-0.036660478834082154,-0.6045299692779745
gordon state college,3.25,88.14,-0.9831096295739029,-0.2916898968103308,-0.7065417364684741
atlanta technical college,3.022727272727273,96.61,-2.271628054147753,1.2083789714249673,-0.8796252439186648
gordon state college,3.25,84.24,-0.9831096295739029,-0.9823945704960063,-0.9828236059427442
albany state university,3.25,83.82,-0.9831096295739029,-1.0567781507390792,-1.0125770380399735
herzing university,3.380952380952381,73.86,-0.24067758493849342,-2.8207316250748007,-1.2726992009930165
