Rotation ID,Schools,Sites,Program,Experience,Student Count,Student Slots,Students,Start Date,End Date,Shift Start,Shift End,Total Hours per Person,Days of the Week,Faculty Name,Preceptor Name,Rotation Type,Course,Unit,Status
312937,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,8,8,"10001, 10002, 10003, 10004, 10005, 10006, 10007, 10008",1/9/23,4/24/23,7:00,19:00,144,Mon,2001,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,Stroke Telemetry - 4400,Archived (Completed)
312939,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/8/23,6/26/23,7:00,19:00,96,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,General Medical,Archived (Denied)
312940,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/12/23,6/30/23,7:00,19:00,96,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,General Medical,Archived (Denied)
312944,Chamberlain College of Nursing - Georgia,Emory Hillandale Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,1/9/23,4/24/23,7:00,19:00,144,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,Telemetry,Archived (Withdrawn)
312945,Chamberlain College of Nursing - Georgia,Emory Hillandale Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,1/13/23,4/28/23,7:00,19:00,144,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,Telemetry,Archived (Withdrawn)
312946,Chamberlain College of Nursing - Georgia,Emory Hillandale Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,5/8/23,6/26/23,7:00,19:00,96,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,Telemetry,Archived (Withdrawn)
312947,Chamberlain College of Nursing - Georgia,Emory Hillandale Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,5/12/23,6/30/23,7:00,19:00,96,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,Telemetry,Archived (Withdrawn)
312951,Chamberlain College of Nursing - Georgia,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,1/2/23,4/26/23,7:00,19:00,144,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,3rd floor: med-surg,Archived (Denied)
312952,Chamberlain College of Nursing - Georgia,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,1/2/23,4/26/23,7:00,19:00,144,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,3rd floor: med-surg,Archived (Denied)
312953,Chamberlain College of Nursing - Georgia,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/1/23,6/25/23,7:00,19:00,96,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,3rd floor: med-surg,Archived (Denied)
